단지명,지역key,자치구,역세권_m,실거래평당_만원,세대수,준공연차,재건축성,초품아,브랜드,신뢰도,지역점수,평당배수,z_역세권,z_평당,z_세대,z_재건축,z_초품아,z_브랜드,프리미엄_raw,프리미엄,단지자체점수,단지입지점수
래미안원베일리,서초구,서초구,350,20117,2990,2,2,1,10,H,1.33,1.659236653813638,0.6250000000009375,0.9999999990390543,0.6478501235442106,0.8666666666666667,1,0.9999999998,0.8146775183197237,0.868534758182721,1.5258609672691161,1.43
헬리오시티,송파구,송파구,200,6800,9510,8,3,1,8,H,1.46,0.9834710743801652,1.0,0.3506260734962859,0.9404997668895824,0.4666666666666667,1,0.59999999988,0.7412001797206945,0.809567303427367,1.7617307862905318,1.61
래미안대치팰리스,강남구,강남구,300,11842,1608,10,3,1,8,H,1.31,1.1864691221962003,0.7500000000006251,0.545696143946352,0.49100812752196094,0.33333333333333337,1,0.59999999988,0.617790447905752,0.6696810137235826,2.3212759451056697,1.82
용산센트럴파크,용산구,용산구,300,8500,1140,5,2,1,8,H,1.51,0.918918918918919,0.7500000000006251,0.28859496704475746,0.40405932207460066,0.6666666666666667,1,0.59999999988,0.603327891708329,0.6502111228615031,2.3991555085539877,1.95
마포프레스티지자이,마포구,마포구,300,6000,1694,4,2,1,8,H,1.82,1.0404624277456647,0.7500000000006251,0.40539166082906425,0.5041804014112464,0.7333333333333334,1,0.59999999988,0.6517053923656873,0.7130477072540079,2.1478091709839684,1.98
과천위버필드,과천시,과천시,300,10000,2128,5,2,1,8,H,1.79,1.0256410256410255,0.7500000000006251,0.391149100450647,0.5618505749812591,0.6666666666666667,1,0.59999999988,0.6475074063255057,0.7078664609018595,2.168534156392562,1.98
올림픽파크포레온,강동구,강동구,400,6000,12032,1,2,1,8,H,2.16,0.9625668449197862,0.50000000000125,0.33053824724666625,0.9999999997470269,0.9333333333333333,1,0.59999999988,0.6661076493997623,0.7303986109841195,2.078405556063522,2.12
흑석자이,동작구,동작구,300,6000,1772,3,2,1,8,H,2.21,1.0404624277456647,0.7500000000006251,0.40539166082906425,0.5155617307836753,0.8,1,0.59999999988,0.6634125917715517,0.727202565788948,2.091189736844208,2.15
신길센트럴자이,영등포구,영등포구,300,5575,1008,5,2,1,8,H,2.01,0.9004037685060565,0.7500000000006251,0.27080291567141734,0.3729574686242394,0.6666666666666667,1,0.59999999988,0.5951042034161068,0.6389074289957413,2.444370284017035,2.23
서울숲리버뷰자이,성동구,성동구,300,6500,1034,8,3,1,8,H,1.76,0.8253968253968254,0.7500000000006251,0.19872532756662153,0.3793935290449215,0.4666666666666667,1,0.59999999988,0.55165409485825,0.5768668492103085,2.692532603158766,2.23
경희궁자이,종로구,종로구,300,6500,2415,10,4,1,8,H,2.13,1.04,0.7500000000006251,0.4049472929452578,0.5938417715003041,0.4,1,0.59999999988,0.6150657243022847,0.6660546451994505,2.335781419202198,2.23
래미안엘리니티,동대문구,동대문구,300,5000,1048,4,2,1,8,M,2.23,0.9523809523809523,0.7500000000006251,0.3207501591516133,0.38279245016149205,0.7333333333333334,1,0.59999999988,0.616568899342734,0.6680577016933738,2.327769193226505,2.28
힐스테이트광교중앙,하남시,하남시,300,5000,875,5,2,1,8,M,2.39,1.0869565217391304,0.7500000000006251,0.45006995349440354,0.3372000006043016,0.6666666666666667,1,0.59999999988,0.6255939907777134,0.6799547684701351,2.2801809261194594,2.34
목동신시가지7,양천구,양천구,400,8000,2550,40,9,1,5,H,2.17,1.1428571428571428,0.50000000000125,0.503787406529101,0.6075964617391912,0.9,1,0.0,0.5768969505670739,0.6133419033647872,2.546632386540851,2.36
성복역롯데캐슬골드타운,수지구,용인시,250,4000,2356,6,2,1,7,H,2.63,1.0256410256410255,0.8750000000003125,0.391149100450647,0.5875873531142517,0.6,1,0.39999999992,0.6588679230493609,0.7217597821561421,2.1129608713754315,2.37
광명푸르지오센트베르,광명시,광명시,300,4200,1335,5,2,1,8,H,2.49,1.0,0.7500000000006251,0.3665094709959853,0.44397214413502756,0.6666666666666667,1,0.59999999988,0.6248977158076386,0.6790449611926362,2.283820155229455,2.39
래미안길음센터피스,성북구,성북구,350,4800,2352,6,2,1,8,M,2.41,1.032258064516129,0.6250000000009375,0.397507714503463,0.5871576748156478,0.6,1,0.59999999988,0.605075194111321,0.6525917553721381,2.3896329785114476,2.4
동탄역시범더샵센트럴시티,화성시,화성시,250,3800,874,10,4,1,8,H,2.45,0.9743589743589743,0.8750000000003125,0.3418698415413235,0.33691105364257884,0.4,1,0.59999999988,0.6014106263427453,0.6475902849306534,2.4096388602773864,2.43
DMC래미안e편한세상,서대문구,서대문구,350,4800,3293,12,4,1,7,M,2.26,1.032258064516129,0.6250000000009375,0.397507714503463,0.6722607193835534,0.4,1,0.39999999992,0.5678406508005069,0.6003788513151564,2.598484594739374,2.43
백현마을6단지,분당구,성남시,350,9000,1039,16,4,1,5,H,1.82,1.0799999999999998,0.6250000000009375,0.44338511489453,0.3806126785731342,0.4,1,0.0,0.4932689247651574,0.4899047592769716,3.0403809628921135,2.43
상계주공7단지,노원구,노원구,300,3000,2634,38,8,1,5,M,2.6,1.0344827586206897,0.7500000000006251,0.3996455244005305,0.6157922171514807,0.8,1,0.0,0.6172979374530158,0.6690270017078561,2.3238919931685755,2.46
래미안구의파크스위트,광진구,광진구,350,5500,854,6,2,1,8,M,2.25,0.9565217391304348,0.6250000000009375,0.3247292297467762,0.3310617054736274,0.6,1,0.59999999988,0.5521051017586805,0.5775272331154281,2.6898910675382877,2.47
DMC센트럴자이,은평구,은평구,300,4200,1388,5,2,1,8,H,2.73,1.024390243902439,0.7500000000006251,0.3899471673065173,0.4538138043160646,0.6666666666666667,1,0.59999999988,0.6310615040969006,0.6870511585225746,2.2517953659097016,2.49
신도림e편한세상4차,구로구,구로구,200,5500,1400,27,4,1,7,H,2.96,1.1224489795918366,1.0,0.48417627288151305,0.4559899298854358,0.4,1,0.39999999992,0.6652337440511179,0.729364846291761,2.082540614832956,2.52
광교중흥S클래스,영통구,수원시,350,5500,2231,8,3,1,7,H,2.51,1.0476190476190477,0.6250000000009375,0.4122687828403573,0.5738024527472378,0.4666666666666667,1,0.39999999992,0.5660241244724384,0.5977610427132731,2.6089558291469075,2.56
