순위,지역,서울대진학률,4년제진학률,특목자사고진학률,학원수,배정학군정성,z_서울대,z_특목고,z_학원수,학군점수
2,서울 서초구 반포동,4.2,95.07,36.02,456,0.95,0.5051813470848211,0.6553585196481235,0.7031468103777017,6.57
1,서울 강남구 대치동,3.75,96.66,27.13,1442,1.0,0.4468911916519571,0.4840015420107171,0.999999999741821,6.52
25,서울 광진구 중곡동,5.77,78.47,26.44,146,0.65,0.7085492227061465,0.4707016191119758,0.4103071070053969,5.69
47,전북 전주 완산구 효자동1가,8.02,100.0,3.28,195,0.75,0.9999999998704663,0.024286815728136336,0.4845805679160167,5.67
11,서울 강남구 일원동,4.78,94.12,31.42,97,0.85,0.5803108807538458,0.566692366989848,0.3056245433648015,5.62
4,서울 양천구 목동,2.41,90.68,24.65,1022,1.0,0.2733160621407622,0.4361989205775598,0.9111903605252063,5.59
7,서울 강남구 개포동,3.21,87.93,30.65,183,0.9,0.3769430051325204,0.5518504240448757,0.46826910422288304,5.26
17,서울 마포구 대흥동,1.25,93.17,53.9,85,0.7,0.12305699480271282,0.9999999999807249,0.27190115931723274,5.02
6,경기 성남 분당구 정자동,2.26,86.03,21.96,455,1.0,0.2538860103298075,0.3843484965230466,0.702581248335205,4.95
3,부산 금정구 구서동,1.75,96.16,29.66,266,0.85,0.18782383417256168,0.5327679259727687,0.564392465153114,4.66
21,서울 서초구 서초동,1.87,76.29,17.94,543,0.85,0.2033678756213254,0.3068619891999449,0.7481385894292073,4.4
92,대구 수성구 황금동,5.19,93.84,2.02,167,0.85,0.6334196890371219,0.0,0.44478210430332715,4.38
15,서울 강남구 청담동,2.65,84.21,24.46,128,0.8,0.30440414503828966,0.4325366229677615,0.3765837229578284,4.32
62,충남 아산시 탕정면,2.65,98.59,42.59,29,0.6,0.30440414503828966,0.7819969159448344,0.0,4.31
78,서울 강남구 압구정동,1.73,81.5,39.35,39,0.9,0.18523316059776773,0.7195451040724838,0.07427346091061979,4.31
8,대전 서구 둔산동,1.62,87.41,17.46,438,0.95,0.170984455936401,0.29760986892255964,0.692772152407746,4.3
10,서울 강남구 삼성동,2.94,91.96,19.77,138,0.85,0.341968911872802,0.3421356977574762,0.3958597594911176,4.29
51,서울 양천구 신정동,1.18,69.76,15.45,853,0.85,0.11398963729093398,0.2588666152610088,0.8645726435967993,4.18
9,서울 강남구 역삼동,2.32,86.34,13.11,405,0.85,0.2616580310541894,0.21376252890875558,0.672596433242473,4.18
14,경기 성남 분당구 서현동,2.79,89.07,6.94,311,0.95,0.32253886006184734,0.09483423284319904,0.6046050089975611,4.05
32,서울 송파구 잠실동,1.03,73.58,22.13,268,0.85,0.09455958547997932,0.38762528912128713,0.5663191828200483,3.9
26,서울 송파구 방이동,1.11,77.64,22.53,264,0.8,0.10492227977915515,0.39533538935244156,0.5624512607511943,3.88
20,경기 고양 일산동구 식사동,3.53,91.34,14.04,92,0.75,0.4183937823292236,0.23168851194618953,0.29210423084709947,3.87
39,서울 노원구 중계동,1.07,75.26,9.75,597,1.0,0.09974093262956724,0.14899768696705867,0.772573036170402,3.84
